skill_score,qualification_score,location_score,stipend_score,experience_score,skill_x_location,skill_squared,shortlisted
0.25,0.903,0.0,0.5,0.388,0.0,0.062,0
0.3,0.0,0.383,0.498,0.525,0.115,0.09,0
0.46,0.899,0.85,0.158,0.398,0.391,0.212,1
1.0,0.457,0.75,0.107,0.343,0.75,1.0,1
0.5,0.75,1.0,0.778,0.876,0.5,0.25,0
0.833,0.776,0.5,0.25,0.559,0.416,0.694,1
0.659,0.628,0.646,0.75,0.03,0.426,0.434,1
0.5,0.75,0.25,0.876,0.329,0.125,0.25,0
0.25,0.75,0.295,0.804,0.421,0.074,0.062,0
0.226,0.674,0.85,0.75,0.013,0.192,0.051,0
0.85,0.85,0.25,0.85,0.824,0.212,0.722,1
0.75,0.302,0.3,0.0,0.274,0.225,0.562,0
1.0,0.75,1.0,0.3,0.797,1.0,1.0,1
0.616,0.28,0.217,0.3,0.77,0.134,0.379,1
0.544,0.359,0.3,0.949,0.742,0.163,0.296,1
1.0,0.051,0.25,0.205,0.747,0.25,1.0,0
0.3,0.25,0.596,0.25,0.889,0.179,0.09,0
0.11,0.132,0.3,0.2,0.157,0.033,0.012,0
0.526,0.476,0.513,1.0,0.199,0.27,0.277,0
0.909,0.302,0.031,0.847,0.384,0.028,0.826,1
0.444,0.322,0.25,1.0,0.494,0.111,0.197,0
0.531,1.0,0.0,0.651,0.692,0.0,0.282,0
0.75,0.414,0.399,0.313,0.281,0.299,0.562,0
0.687,0.2,0.093,0.5,0.731,0.064,0.472,0
0.85,0.411,0.941,0.2,0.872,0.8,0.722,1
0.3,0.75,0.0,0.85,0.103,0.0,0.09,0
0.75,0.975,0.614,0.026,0.836,0.461,0.562,1
0.25,0.5,0.351,0.25,0.51,0.088,0.062,0
0.0,1.0,0.75,0.3,0.333,0.0,0.0,0
0.568,0.0,1.0,0.0,0.245,0.568,0.323,0
1.0,0.3,0.114,0.85,0.61,0.114,1.0,0
0.85,0.75,0.055,0.25,0.691,0.047,0.722,0
0.0,0.75,0.75,0.3,0.45,0.0,0.0,0
0.072,0.042,0.0,0.576,0.516,0.0,0.005,0
0.2,0.85,1.0,0.85,0.079,0.2,0.04,0
1.0,0.2,0.85,0.222,0.701,0.85,1.0,1
0.531,0.5,0.3,0.25,0.23,0.159,0.282,1
0.0,0.75,1.0,0.882,0.579,0.0,0.0,0
0.5,0.0,0.85,0.591,0.317,0.425,0.25,1
0.2,0.5,0.0,0.507,0.416,0.0,0.04,0
0.896,0.3,0.75,0.2,0.405,0.672,0.803,1
0.982,0.25,0.75,0.524,0.549,0.736,0.964,1
0.387,0.679,0.5,0.0,0.502,0.194,0.15,0
1.0,0.333,0.3,0.31,0.59,0.3,1.0,0
0.0,0.75,0.328,1.0,0.084,0.0,0.0,0
0.2,0.3,0.342,0.192,0.9,0.068,0.04,0
0.0,0.2,0.876,0.597,0.139,0.0,0.0,0
0.625,0.721,0.5,0.238,0.4,0.312,0.391,1
0.449,0.85,0.784,0.194,0.61,0.352,0.202,0
0.85,0.503,0.3,0.801,0.125,0.255,0.722,1
0.874,0.2,0.516,0.0,0.687,0.451,0.764,1
0.147,0.3,0.885,0.415,0.357,0.13,0.022,0
0.2,0.2,0.0,0.65,0.712,0.0,0.04,0
0.75,0.139,0.449,0.0,0.017,0.337,0.562,1
1.0,0.2,0.238,0.25,0.378,0.238,1.0,0
0.2,0.5,0.3,0.291,0.001,0.06,0.04,0
0.3,0.086,0.068,0.2,0.351,0.02,0.09,0
0.981,0.0,0.2,0.0,0.694,0.196,0.962,0
0.0,0.85,0.175,0.465,0.626,0.0,0.0,0
0.063,0.458,0.0,0.886,0.284,0.0,0.004,0
1.0,0.25,0.0,0.332,0.112,0.0,1.0,0
0.743,0.387,0.496,0.85,0.721,0.369,0.552,1
1.0,0.18,0.0,0.5,0.276,0.0,1.0,0
1.0,0.2,0.912,0.435,0.576,0.912,1.0,1
0.75,0.3,0.143,0.781,0.031,0.107,0.562,1
0.366,0.2,0.679,0.372,0.687,0.249,0.134,0
1.0,0.5,0.0,0.25,0.449,0.0,1.0,0
0.85,0.704,1.0,0.75,0.18,0.85,0.722,1
0.25,0.445,0.5,0.71,0.495,0.125,0.062,0
0.25,0.927,0.794,0.2,0.887,0.199,0.062,0
0.75,1.0,1.0,0.552,0.551,0.75,0.562,1
0.75,1.0,0.074,0.642,0.405,0.055,0.562,0
1.0,0.182,0.433,0.055,0.112,0.433,1.0,1
0.5,0.225,0.519,0.0,0.226,0.26,0.25,0
0.3,0.614,0.25,0.3,0.154,0.075,0.09,0
0.338,0.041,0.081,0.771,0.238,0.027,0.114,0
0.2,0.85,0.302,0.75,0.268,0.06,0.04,0
0.75,1.0,1.0,0.5,0.661,0.75,0.562,1
0.131,0.2,0.75,0.75,0.223,0.098,0.017,0
0.75,0.418,0.902,0.934,0.649,0.676,0.562,1
1.0,0.85,0.2,0.505,0.87,0.2,1.0,1
0.2,1.0,0.654,0.2,0.762,0.131,0.04,0
0.728,0.366,0.3,0.85,0.066,0.218,0.53,0
0.28,0.68,0.0,0.85,0.502,0.0,0.078,0
1.0,0.2,0.25,0.804,0.467,0.25,1.0,1
0.14,0.319,0.85,1.0,0.638,0.119,0.02,0
0.368,0.98,0.2,0.85,0.87,0.074,0.135,0
0.578,0.584,1.0,0.38,0.739,0.578,0.334,1
0.2,0.75,0.25,0.3,0.369,0.05,0.04,0
0.873,0.062,0.25,1.0,0.473,0.218,0.762,0
1.0,0.5,0.868,0.804,0.238,0.868,1.0,1
0.279,0.5,0.705,0.489,0.432,0.197,0.078,0
0.722,1.0,0.38,0.818,0.859,0.274,0.521,0
0.5,0.079,0.656,0.214,0.745,0.328,0.25,0
0.85,1.0,0.239,1.0,0.203,0.203,0.722,1
0.5,0.101,0.005,0.3,0.366,0.003,0.25,0
0.477,0.5,0.0,0.089,0.517,0.0,0.228,0
0.937,0.175,0.176,0.997,0.357,0.165,0.878,0
0.962,0.877,1.0,0.928,0.302,0.962,0.925,1
0.524,0.134,0.85,0.0,0.298,0.445,0.275,0
0.719,0.5,0.568,0.175,0.771,0.408,0.517,0
0.515,0.0,0.25,0.3,0.006,0.129,0.265,0
0.85,0.302,0.011,0.693,0.056,0.009,0.722,1
0.75,0.923,0.77,0.639,0.847,0.578,0.562,1
0.25,1.0,0.606,1.0,0.682,0.151,0.062,0
0.762,0.596,0.526,0.85,0.07,0.401,0.581,1
1.0,0.202,0.3,1.0,0.398,0.3,1.0,0
0.489,0.445,0.25,1.0,0.508,0.122,0.239,0
0.308,0.5,0.746,0.2,0.381,0.23,0.095,0
0.2,0.069,0.032,0.3,0.689,0.006,0.04,0
0.42,0.382,0.907,0.3,0.588,0.381,0.176,0
1.0,0.3,0.223,0.0,0.881,0.223,1.0,0
0.424,0.3,0.5,0.25,0.844,0.212,0.18,0
0.75,0.936,0.241,1.0,0.03,0.181,0.562,0
0.049,0.402,0.25,0.776,0.126,0.012,0.002,0
1.0,1.0,0.818,0.25,0.887,0.818,1.0,1
0.85,1.0,0.912,0.427,0.446,0.775,0.722,0
0.671,0.319,0.3,0.25,0.679,0.201,0.45,0
0.301,0.806,0.562,0.557,0.121,0.169,0.091,0
0.0,0.847,0.25,0.75,0.606,0.0,0.0,0
0.188,0.724,1.0,0.5,0.273,0.188,0.035,0
0.25,0.117,0.479,1.0,0.633,0.12,0.062,0
0.5,0.381,0.85,0.5,0.462,0.425,0.25,0
0.75,0.32,0.5,0.3,0.667,0.375,0.562,1
1.0,0.25,0.75,0.3,0.449,0.75,1.0,1
0.257,0.967,0.491,0.5,0.152,0.126,0.066,0
0.2,0.2,0.668,0.412,0.758,0.134,0.04,0
0.009,0.85,1.0,0.659,0.014,0.009,0.0,0
0.2,0.85,0.85,0.75,0.726,0.17,0.04,0
0.0,0.3,1.0,0.5,0.241,0.0,0.0,0
1.0,0.3,0.226,0.848,0.588,0.226,1.0,0
0.094,1.0,0.0,0.083,0.761,0.0,0.009,0
0.0,0.919,1.0,0.2,0.832,0.0,0.0,0
1.0,0.2,0.5,0.25,0.528,0.5,1.0,1
0.398,0.25,1.0,0.541,0.345,0.398,0.158,0
0.689,0.5,0.75,0.0,0.307,0.517,0.475,0
0.397,0.03,0.75,0.85,0.498,0.298,0.158,0
1.0,0.086,0.798,0.082,0.139,0.798,1.0,1
0.74,0.0,0.5,0.85,0.092,0.37,0.548,1
1.0,0.0,0.2,0.85,0.777,0.2,1.0,1
0.2,0.56,0.243,1.0,0.153,0.049,0.04,0
0.25,0.75,0.5,0.2,0.325,0.125,0.062,0
0.496,0.458,0.0,0.332,0.558,0.0,0.246,0
0.5,0.3,1.0,0.201,0.283,0.5,0.25,0
0.291,0.491,0.3,0.5,0.735,0.087,0.085,0
1.0,1.0,1.0,0.75,0.849,1.0,1.0,1
0.831,0.75,0.139,0.5,0.593,0.116,0.691,0
0.074,0.479,1.0,0.85,0.631,0.074,0.005,0
0.2,0.25,0.355,0.044,0.885,0.071,0.04,0
0.85,0.43,0.5,1.0,0.502,0.425,0.722,1
0.5,0.3,0.0,0.85,0.374,0.0,0.25,0
0.25,0.5,0.3,0.85,0.429,0.075,0.062,0
0.319,0.0,0.5,0.677,0.148,0.16,0.102,0
0.25,0.85,1.0,0.75,0.567,0.25,0.062,0
0.396,0.883,1.0,0.3,0.185,0.396,0.157,0
0.063,1.0,0.5,0.0,0.236,0.032,0.004,0
0.85,1.0,0.85,1.0,0.556,0.722,0.722,1
0.297,0.085,0.0,0.0,0.165,0.0,0.088,0
1.0,1.0,1.0,0.693,0.581,1.0,1.0,0
1.0,0.25,0.75,0.866,0.857,0.75,1.0,1
0.75,0.505,1.0,1.0,0.44,0.75,0.562,1
0.25,0.5,0.5,0.75,0.509,0.125,0.062,0
0.2,0.85,0.823,0.2,0.684,0.165,0.04,0
0.75,0.25,0.0,0.85,0.776,0.0,0.562,1
0.117,0.21,0.689,0.61,0.385,0.081,0.014,0
0.814,0.57,0.3,0.5,0.26,0.244,0.663,1
0.985,0.095,0.786,0.992,0.78,0.774,0.97,1
0.25,0.828,0.676,0.85,0.565,0.169,0.062,0
0.0,0.85,0.877,1.0,0.295,0.0,0.0,1
0.733,0.458,0.358,1.0,0.358,0.262,0.537,0
0.495,0.5,1.0,0.75,0.709,0.495,0.245,0
0.046,0.837,0.25,0.2,0.893,0.011,0.002,0
0.909,0.302,0.877,0.5,0.225,0.797,0.826,1
0.166,0.85,0.755,0.2,0.633,0.125,0.028,1
0.3,1.0,0.5,0.988,0.38,0.15,0.09,1
0.75,0.0,0.5,0.137,0.696,0.375,0.562,0
0.25,1.0,0.25,0.3,0.565,0.062,0.062,0
1.0,0.087,0.0,1.0,0.316,0.0,1.0,0
0.248,0.248,0.721,0.0,0.763,0.179,0.062,0
1.0,0.189,0.2,0.794,0.215,0.2,1.0,0
1.0,0.0,0.934,1.0,0.379,0.934,1.0,1
0.75,0.77,0.0,0.25,0.036,0.0,0.562,1
0.507,0.501,1.0,1.0,0.484,0.507,0.257,1
0.0,0.3,0.155,1.0,0.571,0.0,0.0,0
0.066,0.73,0.058,0.75,0.104,0.004,0.004,0
0.25,0.25,0.164,0.523,0.705,0.041,0.062,0
0.25,0.873,0.118,0.335,0.386,0.029,0.062,0
1.0,0.496,0.2,0.3,0.331,0.2,1.0,1
1.0,0.115,0.003,0.012,0.041,0.003,1.0,0
0.179,0.035,0.714,0.225,0.223,0.128,0.032,0
0.0,0.2,0.2,1.0,0.883,0.0,0.0,0
0.75,0.774,0.0,0.2,0.332,0.0,0.562,0
0.74,0.5,1.0,0.776,0.659,0.74,0.548,1
0.151,0.024,0.2,0.001,0.592,0.03,0.023,0
0.104,0.3,0.2,0.142,0.252,0.021,0.011,0
1.0,0.85,0.2,0.3,0.573,0.2,1.0,1
0.2,0.3,0.5,0.926,0.354,0.1,0.04,0
0.75,0.0,0.136,0.109,0.095,0.102,0.562,0
0.0,0.3,1.0,0.0,0.081,0.0,0.0,0
1.0,0.5,0.25,0.396,0.044,0.25,1.0,1
0.174,0.855,0.3,0.0,0.724,0.052,0.03,0
0.25,0.75,0.2,0.85,0.826,0.05,0.062,0
0.198,0.809,0.5,0.75,0.046,0.099,0.039,0
1.0,1.0,0.173,0.25,0.247,0.173,1.0,0
1.0,0.246,0.75,0.479,0.079,0.75,1.0,1
0.3,0.802,0.989,0.359,0.49,0.297,0.09,0
0.502,0.3,1.0,0.5,0.053,0.502,0.252,0
0.3,0.1,0.267,0.917,0.05,0.08,0.09,0
0.75,0.3,1.0,0.5,0.823,0.75,0.562,1
0.948,0.3,0.81,0.542,0.158,0.768,0.899,1
1.0,1.0,0.85,0.201,0.117,0.85,1.0,1
0.844,0.0,0.25,0.846,0.775,0.211,0.712,0
1.0,0.85,0.25,0.732,0.393,0.25,1.0,0
0.85,1.0,0.929,0.223,0.53,0.79,0.722,1
0.5,0.0,0.949,0.2,0.164,0.474,0.25,0
0.611,0.104,0.85,0.238,0.884,0.519,0.373,1
0.089,0.639,0.447,0.25,0.624,0.04,0.008,0
0.72,0.75,0.969,0.493,0.341,0.698,0.518,1
0.75,0.578,0.226,0.2,0.265,0.17,0.562,0
0.074,0.75,0.0,0.2,0.304,0.0,0.005,0
0.705,0.3,0.434,0.5,0.185,0.306,0.497,1
0.722,0.265,0.25,0.75,0.515,0.18,0.521,0
0.5,0.0,1.0,0.2,0.023,0.5,0.25,1
0.0,0.2,0.75,0.85,0.082,0.0,0.0,0
0.75,1.0,0.75,0.3,0.753,0.562,0.562,1
0.0,0.5,0.414,0.228,0.055,0.0,0.0,0
1.0,0.3,0.2,0.2,0.452,0.2,1.0,0
0.678,0.12,0.173,0.972,0.728,0.117,0.46,1
1.0,0.25,0.258,0.914,0.06,0.258,1.0,0
0.85,0.52,0.012,0.588,0.704,0.01,0.722,1
1.0,0.2,0.563,0.5,0.781,0.563,1.0,1
0.264,0.572,0.3,0.25,0.556,0.079,0.07,0
1.0,0.331,0.75,0.897,0.018,0.75,1.0,1
0.5,0.858,0.972,0.5,0.877,0.486,0.25,1
0.269,0.2,0.25,0.407,0.436,0.067,0.072,0
0.2,0.3,1.0,0.2,0.156,0.2,0.04,0
0.0,0.75,0.5,0.274,0.741,0.0,0.0,0
0.124,0.5,1.0,0.75,0.528,0.124,0.015,0
0.5,0.689,0.75,1.0,0.702,0.375,0.25,1
0.25,0.269,0.2,0.967,0.614,0.05,0.062,0
0.25,0.008,0.5,0.709,0.248,0.125,0.062,0
0.459,0.5,0.824,0.2,0.007,0.378,0.211,0
0.839,0.85,0.0,0.85,0.89,0.0,0.704,0
0.261,0.892,0.25,0.3,0.81,0.065,0.068,0
0.6,0.681,0.655,0.259,0.377,0.393,0.36,1
1.0,0.343,0.686,0.476,0.847,0.686,1.0,1
0.25,0.876,0.0,0.85,0.653,0.0,0.062,0
0.947,0.654,0.25,0.307,0.709,0.237,0.897,1
0.5,0.2,0.2,0.3,0.45,0.1,0.25,0
0.85,0.3,0.25,1.0,0.804,0.212,0.722,0
0.25,0.488,0.177,0.005,0.246,0.044,0.062,0
0.25,0.2,0.75,0.403,0.869,0.188,0.062,0
0.25,0.95,0.757,0.2,0.609,0.189,0.062,0
0.5,0.0,0.85,0.0,0.268,0.425,0.25,0
0.596,0.25,0.75,0.3,0.148,0.447,0.355,0
0.019,0.25,0.0,0.3,0.111,0.0,0.0,0
0.375,0.771,0.594,0.0,0.588,0.223,0.141,1
0.417,0.85,0.3,0.0,0.271,0.125,0.174,0
0.27,0.137,0.105,0.118,0.103,0.028,0.073,0
0.25,0.831,0.358,0.3,0.035,0.089,0.062,0
0.75,0.0,0.0,0.835,0.602,0.0,0.562,1
1.0,0.0,0.644,0.85,0.238,0.644,1.0,1
0.874,0.36,0.426,0.0,0.009,0.372,0.764,1
0.329,0.955,0.0,0.85,0.165,0.0,0.108,0
0.272,1.0,0.649,0.113,0.627,0.177,0.074,0
0.159,1.0,0.678,0.75,0.701,0.108,0.025,0
0.88,0.892,1.0,0.75,0.397,0.88,0.774,1
0.012,0.525,0.724,0.5,0.467,0.009,0.0,0
0.433,0.482,0.641,1.0,0.803,0.278,0.187,0
0.25,1.0,0.869,0.75,0.289,0.217,0.062,0
1.0,0.75,0.3,0.75,0.721,0.3,1.0,0
0.447,0.75,0.018,0.2,0.501,0.008,0.2,1
1.0,0.638,0.562,0.456,0.307,0.562,1.0,1
0.844,1.0,0.85,0.114,0.683,0.717,0.712,1
0.5,0.85,0.046,0.25,0.74,0.023,0.25,0
0.85,0.188,0.393,0.3,0.645,0.334,0.722,1
0.2,0.451,0.956,0.75,0.004,0.191,0.04,0
1.0,0.483,0.3,0.174,0.734,0.3,1.0,1
0.606,0.75,0.3,0.5,0.873,0.182,0.367,1
0.75,0.886,0.85,0.936,0.569,0.637,0.562,1
0.291,0.25,0.65,0.504,0.625,0.189,0.085,0
0.5,1.0,0.894,1.0,0.727,0.447,0.25,1
0.25,0.0,0.25,0.683,0.132,0.062,0.062,0
0.204,0.85,0.102,0.739,0.778,0.021,0.042,0
0.3,0.85,0.047,1.0,0.861,0.014,0.09,0
1.0,0.5,0.75,0.911,0.634,0.75,1.0,1
0.547,0.776,0.294,0.0,0.168,0.161,0.299,1
1.0,0.5,0.3,0.5,0.005,0.3,1.0,0
0.04,0.597,0.625,0.301,0.711,0.025,0.002,0
0.5,0.3,0.3,1.0,0.083,0.15,0.25,1
0.5,0.5,1.0,0.2,0.103,0.5,0.25,1
1.0,0.244,0.5,0.2,0.347,0.5,1.0,1
1.0,0.375,0.446,0.25,0.288,0.446,1.0,1
1.0,0.2,0.25,0.424,0.094,0.25,1.0,0
0.976,0.647,0.747,0.75,0.645,0.729,0.953,1
0.25,0.558,0.3,0.408,0.406,0.075,0.062,0
0.75,0.535,0.618,0.586,0.631,0.464,0.562,1
0.106,0.301,0.75,0.2,0.427,0.08,0.011,0
0.75,0.849,0.25,0.5,0.862,0.188,0.562,1
0.141,1.0,0.2,0.5,0.191,0.028,0.02,0
0.142,1.0,0.194,1.0,0.767,0.028,0.02,0
0.994,0.2,0.0,0.25,0.653,0.0,0.988,0
0.25,0.235,0.0,0.318,0.406,0.0,0.062,0
1.0,1.0,0.85,0.169,0.282,0.85,1.0,1
0.641,0.5,0.5,0.463,0.323,0.321,0.411,1
0.3,0.082,0.25,0.196,0.66,0.075,0.09,0
0.892,0.632,0.579,0.213,0.033,0.516,0.796,1
0.54,0.149,0.85,1.0,0.459,0.459,0.292,1
0.3,0.807,0.166,1.0,0.143,0.05,0.09,0
0.3,0.484,0.3,0.232,0.238,0.09,0.09,0
0.518,0.388,0.882,0.5,0.093,0.457,0.268,0
0.273,0.579,1.0,0.365,0.588,0.273,0.075,0
1.0,0.223,0.85,1.0,0.798,0.85,1.0,1
0.44,1.0,0.212,0.5,0.542,0.093,0.194,0
0.415,0.0,1.0,0.3,0.583,0.415,0.172,0
0.25,0.3,1.0,1.0,0.132,0.25,0.062,0
0.517,0.2,0.728,0.947,0.195,0.376,0.267,0
1.0,0.75,0.795,0.182,0.594,0.795,1.0,1
0.343,0.2,0.75,0.0,0.182,0.257,0.118,0
1.0,0.606,1.0,0.2,0.084,1.0,1.0,1
0.539,0.75,0.85,0.698,0.386,0.458,0.291,0
1.0,0.2,0.85,0.3,0.819,0.85,1.0,1
1.0,0.0,0.789,0.2,0.468,0.789,1.0,1
0.5,0.2,1.0,1.0,0.381,0.5,0.25,1
0.75,0.413,0.482,1.0,0.228,0.361,0.562,1
0.75,0.855,0.748,0.3,0.09,0.561,0.562,1
0.801,0.685,0.75,0.005,0.082,0.601,0.642,1
0.435,0.25,0.2,0.931,0.361,0.087,0.189,0
1.0,0.25,0.439,1.0,0.257,0.439,1.0,1
0.3,0.674,0.2,0.087,0.248,0.06,0.09,0
0.405,0.0,0.069,0.5,0.654,0.028,0.164,0
0.85,0.277,0.195,0.575,0.235,0.166,0.722,0
0.0,0.85,0.803,0.876,0.732,0.0,0.0,0
0.966,0.3,0.961,1.0,0.807,0.928,0.933,1
0.85,0.25,0.23,0.5,0.465,0.196,0.722,1
0.248,0.5,0.25,0.85,0.197,0.062,0.062,0
0.25,0.3,0.25,0.207,0.182,0.062,0.062,0
0.156,0.0,0.663,0.764,0.487,0.103,0.024,0
0.85,0.85,0.85,0.3,0.049,0.722,0.722,1
0.2,1.0,0.776,0.2,0.628,0.155,0.04,0
0.012,1.0,0.5,0.26,0.494,0.006,0.0,0
0.85,1.0,1.0,0.372,0.769,0.85,0.722,1
0.25,0.686,0.721,0.555,0.771,0.18,0.062,0
0.739,0.2,0.75,1.0,0.481,0.554,0.546,1
0.85,0.2,0.3,0.5,0.429,0.255,0.722,0
0.85,0.5,0.85,0.75,0.109,0.722,0.722,1
0.199,0.3,0.285,1.0,0.439,0.057,0.04,0
0.381,0.25,0.641,0.422,0.551,0.244,0.145,0
0.079,0.5,0.5,0.605,0.356,0.04,0.006,0
0.939,0.521,0.3,0.0,0.113,0.282,0.882,1
0.0,0.75,0.0,0.473,0.048,0.0,0.0,0
0.2,1.0,0.75,0.25,0.664,0.15,0.04,0
1.0,0.029,0.86,0.75,0.42,0.86,1.0,1
0.549,1.0,1.0,1.0,0.471,0.549,0.301,1
0.5,0.3,0.442,0.85,0.14,0.221,0.25,1
0.3,0.75,1.0,0.477,0.008,0.3,0.09,0
0.25,0.548,1.0,0.3,0.147,0.25,0.062,0
1.0,0.0,0.3,0.85,0.256,0.3,1.0,0
0.413,0.182,0.75,0.272,0.56,0.31,0.171,1
0.0,0.022,0.282,0.75,0.654,0.0,0.0,0
0.75,0.75,0.75,0.464,0.712,0.562,0.562,1
0.952,0.75,0.75,0.5,0.736,0.714,0.906,1
0.25,1.0,0.0,0.0,0.469,0.0,0.062,0
0.85,0.159,0.745,0.2,0.228,0.633,0.722,1
0.0,0.218,0.75,0.25,0.715,0.0,0.0,0
0.3,0.0,1.0,0.155,0.694,0.3,0.09,0
0.85,0.997,0.06,0.701,0.712,0.051,0.722,1
1.0,0.757,0.439,0.75,0.322,0.439,1.0,1
0.485,0.85,1.0,0.25,0.489,0.485,0.235,1
0.3,0.25,0.85,1.0,0.001,0.255,0.09,0
0.3,0.62,0.3,0.0,0.592,0.09,0.09,0
1.0,0.154,0.75,0.11,0.471,0.75,1.0,1
0.13,0.202,0.2,0.75,0.592,0.026,0.017,0
0.256,0.2,0.25,0.928,0.749,0.064,0.066,0
0.361,0.89,0.794,1.0,0.239,0.287,0.13,1
